"""nome_unidade""";Unidade Pai;"""tipo_logradouro""";"""logradouro""";"""numero""";"""complemento""";"""bairro""";"""cidade""";"""cep""";"""email""";"""titular""";"""telefone""";"""sei_geral""";;;
ACADEMIA DE POLICIA CIVIL - ACADEPOL;CONSELHO;Rua;OSCAR NEGRAO DE LIMA;"""200""";"""1 ANDAR""";NOVA GAMELEIRA;BELO HORIZONTE;"""30510-210""";gabinete.acadepol@gmail.com;YUKARI MIYATA;(31) 3314-5600;PCMG/ACADEPOL;;;
CENTRO DE REFERENCIA DE POLICIA COMUNITARIA;NUCLEO DE DIREITOS HUMANOS;Avenida;NOSSA SENHORA DO CARMO;"""1890""";SALAS  703/705;SAO PEDRO;BELO HORIZONTE;"""30330-062""";crpc.ndh.sipj@pcivil.mg.gov.br;AGUEDA BUENO NASCIMENTO HOMEM;(31) 3257-7286;PCMG/SIPJ/NDH/CRPC;;;
DIRETORIA-ADJUNTA DA ACADEMIA DE POLICIA CIVIL;ACADEMIA DE POLICIA CIVIL - ACADEPOL;Rua;OSCAR NEGRAO DE LIMA;"""200""";"""2 ANDAR""";NOVA GAMELEIRA;BELO HORIZONTE;"""30510-210""";acadepol.gab@pc.mg.gov.br;ALESSANDRA ESCOBAR VIEIRA WILKE;(31) 3314-5602;PCMG/ACADEPOL/DIRETORIAADJUNTA;;;
DIVISAO AUXILIAR;ACADEMIA DE POLICIA CIVIL - ACADEPOL;Rua;OSCAR NEGRAO DE LIMA;"""200""";"""1 ANDAR""";NOVA GAMELEIRA;BELO HORIZONTE;"""30510-210""";da.acadepol@pcivil.mg.gov.br;.;(31) 3314-5616;PCMG/ACADEPOL/DA;;;
DIVISAO DE RECRUTAMENTO E SELECAO;ACADEMIA DE POLICIA CIVIL - ACADEPOL;Rua;OSCAR NEGRAO DE LIMA;"""200""";"""3 ANDAR""";NOVA GAMELEIRA;BELO HORIZONTE;"""30510-210""";drs.acadepol@pcivil.mg.gov.br;ROBSON SILVA DE AGUIAR;(31) 3314-5624;PCMG/ACADEPOL/DRS;;;
DIVISAO PSICOPEDAGOGICA;ACADEMIA DE POLICIA CIVIL - ACADEPOL;Rua;OSCAR NEGRAO DE LIMA;"""200""";"""2 ANDAR""";NOVA GAMELEIRA;BELO HORIZONTE;"""30510-210""";dpp.acadepol@pcivil.mg.gov.br;FLAVIA PORTES TEIXEIRA;(31) 3314-5644;PCMG/ACADEPOL/DPP;;;
ESCOLA ESTADUAL ORDEM E PROGRESSO;ACADEMIA DE POLICIA CIVIL - ACADEPOL;Rua;OSCAR NEGRAO DE LIMA;"""29""";"""""";NOVA GAMELEIRA;BELO HORIZONTE;"""30510-210""";assessoria@ordemeprogresso.pcivil.mg.gov.br;DR. ACI ALVES DOS SANTOS;(31) 3257-7148;PCMG/ORDEM;;;
INSTITUTO DE CRIMINOLOGIA;ACADEMIA DE POLICIA CIVIL - ACADEPOL;Rua;OSCAR NEGRAO DE LIMA;"""112""";PREDIO B;NOVA GAMELEIRA;BELO HORIZONTE;"""30510-210""";criminologia.acadepol@policiacivil.mg.gov.br;EMILIO DE OLIVEIRA E SILVA;(31) 3257-7255;PCMG/ACADEPOL/CRIM.GAB;;;
ASSESSORIA DE APOIO ADMINISTRATIVO;GABINETE DA CHEFIA DA POLICIA CIVIL;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630-900""";chefiadegabinete@pcivil.mg.gov.br;FRANCIONE TAVARES LOPES FINTELMAN;(31) 3915-7313;PCMG/GAB-SEC;;;
ASSESSORIA DE ATOS;GABINETE DA CHEFIA DA POLICIA CIVIL;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630-900""";ass.atos@pcivil.mg.gov.br;AMANDA CRISTINA DA SILVA SOUSA NEVES;(31) 3915-7266;PCMG/ASSATOS;;;
ASSESSORIA DE COMUNICACAO SOCIAL;GABINETE DA CHEFIA DA POLICIA CIVIL;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;Serra Verde;BELO HORIZONTE;"""31630-900""";imprensa@pcivil.mg.gov.br;A INFORMAR;(31) 3915-7180;PCMG/ASCOM;;;
ASSESSORIA DE PLANEJAMENTO INSTITUCIONAL;GABINETE DA CHEFIA DA POLICIA CIVIL;Avenida;PAPA JOAO PAULO II;"""4143""";Prédio Minas, 4º ANDAR - Cidade Administrativa Presidente Tancredo Neves;Serra Verde;BELO HORIZONTE;"""31630-900""";api@policiacivil.mg.gov.br;GUILHERME CARDOSO VASCONCELOS;(31) 3915-7271;"""""";;;
ASSESSORIA DE RELACOES INSTITUCIONAIS;GABINETE DA CHEFIA DA POLICIA CIVIL;Avenida;-;"""0""";"""""";-;BELO HORIZONTE;"""0""";rinstitucionaispcmg@gmail.com;DR. MARCELO OLIVA GALIZZI;(31) 3915-7229;"""""";;;
ASSESSORIA JURIDICA - CHEFIA;GABINETE DA CHEFIA DA POLICIA CIVIL;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;Serra Verde;BELO HORIZONTE;"""31630-900""";assjur.gabinete@pcivil.mg.gov.br;DR. MARCO AURELIO DE OLIVEIRA RESENDE;(31) 3915-7155;PCMG/ASSJUR;;;
CHEFIA DA POLICIA CIVIL;CONSELHO;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630-900""";chefia@pcivil.mg.gov.br;LETICIA BAPTISTA GAMBOGE REIS;(31) 3915-7227;PCMG/CPCMG;;;
CHEFIA-ADJUNTA DA POLICIA CIVIL;CONSELHO;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;Serra Verde;BELO HORIZONTE;"""31630-900""";chefiaadjunta@pcivil.mg.gov.br;RITA DE CASSIA JANUZZI;(31) 3915-7158;"""""";;;
CONSELHO;"Rodovia*PAPA JOAO PAULO I*""4143""*PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA*SERRA VERDE*BELO HORIZONTE*""31.565-180""*chefia@pcivil.mg.gov.br*LETICIA BAPTISTA GAMBOGE REIS*(31) 3915-7227";;;;;;;;;;;;;;
CONTROLADORIA SETORIAL;GABINETE DA CHEFIA DA POLICIA CIVIL;Avenida;RODOVIA PAPA JOAO PAULO II;"""4143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;Serra Verde;BELO HORIZONTE;"""31630-900""";auditoriasetorialpcmg@gmail.com;CARLOS ALBERTO DORNELAS NASCIMENTO;(31) 3915-7260;;;;
COORDENACAO AEROTATICA - CAT;COORDENADORIA DE OPERACOES ESTRATEGICAS - COE;Rua;BOAVENTURA;"""2312""";HANGAR 09, SETOR SUL, AEROPORTO DA PAMPULHA;AEROPORTO;BELO HORIZONTE;"""31270-310""";inspetoriacatpcmg@gmail.com;BRUNO TASCA CABRAL;(31) 3257-7108;PCMG/COE/CAT GABINETE;;;
DIRETORIA ADMINISTRATIVA E FINANCEIRA - HOSPITAL DA POLICIA CIVIL;HOSPITAL DA POLICIA CIVIL;Avenida;BARBACENA;"""473""";"""6 ANDAR""";BARRO PRETO;BELO HORIZONTE;"""30190-130""";diretoria.administrativa.hpc@pcivil.mg.gov.br;ESTEVAO CARVALHO CARDOSO;(31) 3330-6352;PCMG/HPC/DAF;;;
DIRETORIA DE PERICIAS;HOSPITAL DA POLICIA CIVIL;Avenida;BARBACENA;"""473""";"""1 ANDAR""";BARRO PRETO;BELO HORIZONTE;"""30190-130""";pericia.hpc@policiacivil.mg.gov.br;HELOISA CABRAL GUIMARAES MUZZI;(31) 3330-6305;PCMG/HPC/PERICIAS;;;
DIRETORIA DE SAUDE OCUPACIONAL;HOSPITAL DA POLICIA CIVIL;Avenida;BARBACENA;"""473""";"""""";BARRO PRETO;BELO HORIZONTE;"""30190-130""";XXX@XXXXX;XXXX;(00) 0000-0000;XXXXXX;;;
DIRETORIA MEDICA;HOSPITAL DA POLICIA CIVIL;Avenida;BARBACENA;"""473""";"""""";BARRO PRETO;BELO HORIZONTE;"""30190-130""";XXXXX@XXXXXX;MARCIO TEIXEIRA MASCARENHAS (RESPONDENDO);(31) 0000-0000;PCMG/HPC/DIRMED;;;
DIRETORIA ODONTOLOGICA;HOSPITAL DA POLICIA CIVIL;Rua;BERNARDO GUIMARAES;"""1280""";"""""";FUNCIONÁRIOS;BELO HORIZONTE;"""30140-081""";diretoriaodontohpc@gmail.com;RODRIGO CAILLAUX PEREIRA;(31) 3204-1808;PCMG/HPC/DIRODONTO;;;
ESCRITORIO DE PROJETOS;GABINETE DA CHEFIA DA POLICIA CIVIL;Rodovia;PAPA JOAO PAULO II;"""4143""";PREDIO MINAS, 4 ANDAR;SERRA VERDE;BELO HORIZONTE;"""31630-900""";projetos@pcivil.mg.gov.br;DIEGO FABIANO ALVES;(31) 3915-7142;PCMG/EPROJ;;;
GABINETE DA CHEFIA DA POLICIA CIVIL;CONSELHO;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630-900""";chefiadegabinete@pcivil.mg.gov.br;FREDERICO RASO LOPES ABELHA;(31) 3915-7313;PCMG/GAB-SEC;;;
HOSPITAL DA POLICIA CIVIL;GABINETE DA CHEFIA DA POLICIA CIVIL;Avenida;BARBACENA;"""473""";"""12 ANDAR""";BARRO PRETO;BELO HORIZONTE;"""30190-130""";diretoria.geral.hpc@policiacivil.mg.gov.br;GERSON COELHO CAVALCANTE JUNIOR;(31) 0000-0000;PCMG/HPC/GAB;;;
INSPETORIA - HPC;HOSPITAL DA POLICIA CIVIL;Avenida;BARBACENA;"""473""";"""""";BARRO PRETO;BELO HORIZONTE;"""30.190-130""";diretoriageralhpc@gmail.com;AGENOR FIDELIS DE SOUSA FILHO;(31) 3330-6340;PCMG/HPC-INSPETORIA;;;
INSPETORIA GERAL DE ESCRIVAES;COORDENACAO GERAL DA SIPJ;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31.630-900""";igepcmg@gmail.com;LUCIENE CARDOSO MURTA VILELA;(31) 3915-7379;PCMG/SIPJ/INSPETOR ESCRIVÃES;;;
INSPETORIA GERAL DE INVESTIGADORES;COORDENACAO GERAL DA SIPJ;Avenida;AUGUSTO DE LIMA;"""1833""";"""""";BARRO PRETO;BELO HORIZONTE;"""30190-009""";igi@policiacivil.mg.gov.br;CLAUDIO ROSA DAVID;(31) 3330-1808;SIPJ/INSPETORIA GERAL;;;
COORDENACAO DA DELEGACIA DE EVENTOS E PROTECAO AO TURISTA - DEPTUR;COORDENACAO GERAL DA SIPJ;Avenida;-;"""0""";"-*BELO HORIZONTE*""0""*-*-*""0""";;;;;;;;;;
"""1° SUBCORREGEDORIA DE POLICIA CIVIL""";CORREGEDORIA-GERAL DE POLICIA CIVIL;Avenida;JOAO PINHEIRO;"""417""";"""2 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";cartorio.1sub.cgpc@pcivil.mg.gov.br;DR ERIC FLAVIO BRANDAO DE FREITAS;(31) 3348-6013;PCMG/CGPC/1ªSPC;;;
"""2° SUBCORREGEDORIA DE POLICIA CIVIL""";CORREGEDORIA-GERAL DE POLICIA CIVIL;Avenida;JOAO PINHEIRO;"""417""";"""2 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";cartorio.2sub.cgpc@pcivil.mg.gov.br;DRA ERICA ALVARENGA DE REZENDE BASTOS;(31) 3348-6033;PCMG/CGPC/2ªSPC;;;
"""3° SUBCORREGEDORIA DE POLICIA CIVIL""";CORREGEDORIA-GERAL DE POLICIA CIVIL;Avenida;JOAO PINHEIRO;"""417""";"""2 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";cartorio.3sub.cgpc@pcivil.mg.gov.br;DR.  LUIZ OTAVIO BRAGA PAULON;(31) 3348-6001;PCMG/CGPC/3ªSPC;;;
